time_s,x_enu_m,y_enu_m,z_enu_m,vx_enu_m_s,vy_enu_m_s,vz_enu_m_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0021659059116076003,0.0,0.0,0.0,0.0,0.0,0.0
0.0043318118232152005,0.0,0.0,0.0,0.0,0.0,0.0
0.008663623646430401,0.0,0.0,0.0,0.0,0.0,0.0
0.012995435469645602,0.0,0.0,0.0,0.0,0.0,0.0
0.017327247292860802,0.0,0.0,0.0,0.0,0.0,0.0
0.06064536552501281,0.0,0.0,0.0,0.0,0.0,0.0
0.06148331135287705,0.0,0.0,0.0,0.0,0.0,0.0
0.062321257180741295,0.0,0.0,0.0,0.0,0.0,0.0
0.06399714883646977,0.0,0.0,0.0,0.0,0.0,0.0
0.06567304049219826,0.0,0.0,0.0,0.0,0.0,0.0
0.06734893214792674,0.0,0.0,0.0,0.0,0.0,0.0
0.08410784870521154,0.0,0.0,0.0,0.0,0.0,0.0
0.08462823638016435,0.0,0.0,0.0,0.0,0.0,0.0
0.08514862405511717,0.0,0.0,0.0,0.0,0.0,0.0
0.08618939940502279,0.0,0.0,0.0,0.0,0.0,0.0
0.08723017475492842,0.0,0.0,0.0,0.0,0.0,0.0
0.08827095010483405,0.0,0.0,0.0,0.0,0.0,0.0
0.09867870360389035,0.0,0.0,0.0,0.0,0.0,0.0
0.09909048912301367,0.0,0.0,0.0,0.0,0.0,0.0
0.099502274642137,0.0,0.0,0.0,0.0,0.0,0.0
0.09961760310251315,0.0,0.0,0.0,0.0,0.0,0.0
0.0997329315628893,0.0,0.0,0.0,0.0,0.0,0.0
0.09996358848364159,0.0,0.0,0.0,0.0,0.0,0.0
0.09996820162205663,0.0,0.0,0.0,0.0,0.0,0.0
0.09997281476047168,0.0,0.0,0.0,0.0,0.0,0.0
0.09997742789888672,0.0,0.0,0.0,0.0,0.0,0.0
0.09998204103730177,0.0,0.0,0.0,0.0,0.0,0.0
0.09998665417571681,0.0,0.0,0.0,0.0,0.0,0.0
0.0999958804525469,0.0,0.0,0.0,0.0,0.0,0.0
0.10000510672937699,0.0,1.601692116783018e-10,1.830699147831183e-09,0.0,3.472022672371121e-05,0.00039685400741575126
0.10001433300620707,0.0,8.008445856643844e-10,9.153609425993636e-09,0.0,0.00010416036092499348,0.0011905583732471745
0.10010659577450799,0.0,7.447217245438685e-08,8.512207614330691e-07,0.0,0.0007984946606896258,0.009126835735158092
0.10019885854280891,0.0,2.1219881389366964e-07,2.4254435402326635e-06,0.0,0.0014927651096495404,0.017062383279031514
0.10112148622581807,0.0,4.790758013234262e-06,5.475861473769328e-05,0.0,0.008432276775951765,0.09638136458048846
0.10204411390882723,0.0,1.5768956753312666e-05,0.0001802400005317395,0.0,0.015365402271078014,0.17562735161138962
0.10296674159183639,0.0,3.314090248529269e-05,0.0003788022487469789,0.0,0.0222921405317158,0.2548003322180177
0.11219301842192803,0.0,0.0005572484516399748,0.006369378947852056,0.0,0.09120796790898196,1.0425118436282421
0.12141929525201967,0.0,0.0017142159121248182,0.01959357753378299,0.0,0.1594836884410328,1.8229069003182998
0.1306455720821113,0.0,0.003498155601725397,0.039984101490972535,0.0,0.227117853792684,2.5959689477412824
0.13987184891220295,0.0,0.005904573767549582,0.06748958698869956,0.0,0.2944815396257442,3.3659394001199434
0.14909812574229458,0.0,0.008933606096907522,0.10211158494007577,0.0,0.3621849804846619,4.139793270214282
0.15832440257238622,0.0,0.012588663031764287,0.143889076875098,0.0,0.43017786757396254,4.916955525860735
0.16755067940247786,0.0,0.01687236618354859,0.19285202794947054,0.0,0.49845753356619327,5.697395679367007
0.25981344770339426,0.0,0.0948420984069289,1.0840501452950093,0.0,1.1963813838244453,13.67470179116341
0.27270460597513024,0.0,0.11090640372049057,1.267665995236598,0.0,1.2959169816903278,14.812398880757069
